id,name,password,role,phone,created_at
admin,系统管理员,6527dd1705a,admin,,2024-09-01
T001,张明老师,6527dd1705a,admin,,2024-09-01
T002,李华老师,6527dd1705a,admin,,2024-09-01
T003,王芳老师,6527dd1705a,admin,,2024-09-01
S2024001,张三,6527dd1705a,student,,2024-09-01
S2024002,李四,6527dd1705a,student,,2024-09-01
S2024003,王明,6527dd1705a,student,,2024-09-01
S2024004,陈丽,6527dd1705a,student,,2024-09-01
S2024005,刘洋,6527dd1705a,student,,2024-09-01
S2024006,赵敏,6527dd1705a,student,,2024-09-01
S2024007,孙伟,6527dd1705a,student,,2024-09-01
S2024008,周芳,6527dd1705a,student,,2024-09-01
S2024009,吴强,6527dd1705a,student,,2024-09-01
S2024010,郑婷,6527dd1705a,student,,2024-09-01
S2024011,冯军,6527dd1705a,student,,2024-09-01
S2024012,何静,6527dd1705a,student,,2024-09-01
S2024013,沈浩,6527dd1705a,student,,2024-09-01
S2024014,韩雪,6527dd1705a,student,,2024-09-01
S2024015,秦勇,6527dd1705a,student,,2024-09-01
S2024016,许莉,6527dd1705a,student,,2024-09-01
S2024017,邓超,6527dd1705a,student,,2024-09-01
S2024018,彭蕾,6527dd1705a,student,,2024-09-01
S2025001,马飞,6527dd1705a,student,,2024-09-01
S2025002,宋婷,6527dd1705a,student,,2024-09-01
S2025003,唐龙,6527dd1705a,student,,2024-09-01
S2025004,曹娜,6527dd1705a,student,,2024-09-01
S2025005,高翔,6527dd1705a,student,,2024-09-01
S2025006,罗琳,6527dd1705a,student,,2024-09-01
S2025007,梁志,6527dd1705a,student,,2024-09-01
S2025008,谢慧,6527dd1705a,student,,2024-09-01
S2025009,黄磊,6527dd1705a,student,,2024-09-01
S2025010,朱玥,6527dd1705a,student,,2024-09-01
S2025011,徐明,6527dd1705a,student,,2024-09-01
S2025012,胡燕,6527dd1705a,student,,2024-09-01
S2025013,林峰,6527dd1705a,student,,2024-09-01
S2025014,郭丽,6527dd1705a,student,,2024-09-01
S2025015,蔡刚,6527dd1705a,student,,2024-09-01
S2026001,潘玉,6527dd1705a,student,,2024-09-01
